Time,LIVING_UNIT1:HOUSTON BUSH INTERCONTINENTAL ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:HOUSTON BUSH INTERCONTINENTAL ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:HOUSTON BUSH INTERCONTINENTAL ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:HOUSTON BUSH INTERCONTINENTAL ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,4.929356E+03,1.866207E+03,1.564926E-01,1.329109E-01
00:30:00,5.135632E+03,1.883898E+03,1.642344E-01,1.383004E-01
00:45:00,5.321086E+03,2.832163E+03,1.714858E-01,2.268744E-01
01:00:00,5.495934E+03,3.425534E+03,1.783241E-01,2.832202E-01
01:15:00,4.739668E+03,1.977472E+03,1.535361E-01,1.784584E-01
01:30:00,4.645490E+03,1.794174E+03,1.490171E-01,1.619201E-01
01:45:00,4.183897E+03,7.144730E+02,1.327786E-01,6.449799E-02
02:00:00,3.861886E+03,0.000000E+00,1.210121E-01,0.000000E+00
02:15:00,4.468779E+03,0.000000E+00,1.405585E-01,0.000000E+00
02:30:00,4.451719E+03,0.000000E+00,1.410694E-01,0.000000E+00
02:45:00,4.814968E+03,0.000000E+00,1.536583E-01,0.000000E+00
03:00:00,5.055378E+03,0.000000E+00,1.623418E-01,0.000000E+00
03:15:00,5.239543E+03,1.309850E+03,1.696840E-01,9.551428E-02
03:30:00,5.424361E+03,1.309850E+03,1.768072E-01,9.551428E-02
03:45:00,5.570472E+03,2.117308E+03,1.828091E-01,1.700407E-01
04:00:00,5.708598E+03,2.662911E+03,1.884915E-01,2.199535E-01
04:15:00,4.365350E+03,1.637946E+03,1.439193E-01,1.490917E-01
04:30:00,3.508671E+03,2.069569E+03,1.142542E-01,1.863976E-01
04:45:00,2.654943E+03,1.545936E+03,8.415308E-02,1.364029E-01
05:00:00,1.974926E+03,1.305028E+03,5.948834E-02,1.128230E-01
05:15:00,2.729988E+03,1.134371E+03,8.250299E-02,9.771230E-02
05:30:00,3.093920E+03,9.529869E+02,9.388878E-02,8.098723E-02
05:45:00,3.481352E+03,8.586768E+02,1.061817E-01,7.203847E-02
06:00:00,3.734953E+03,7.671552E+02,1.144311E-01,6.323254E-02
06:15:00,5.305735E+03,1.236010E+03,1.683100E-01,1.028279E-01
06:30:00,5.765611E+03,1.492374E+03,1.874530E-01,1.272349E-01
06:45:00,6.840176E+03,1.836866E+03,2.285700E-01,1.591418E-01
07:00:00,7.600713E+03,2.186122E+03,2.586773E-01,1.916302E-01
07:15:00,5.316784E+03,2.142775E+03,1.832494E-01,1.899687E-01
07:30:00,4.553114E+03,2.236552E+03,1.549424E-01,1.976987E-01
07:45:00,3.148759E+03,2.355669E+03,1.037508E-01,2.075568E-01
08:00:00,2.207754E+03,2.493258E+03,6.816723E-02,2.190066E-01
08:15:00,4.054117E+03,2.429149E+03,1.285905E-01,2.113134E-01
08:30:00,4.665024E+03,2.428559E+03,1.509539E-01,2.086422E-01
08:45:00,5.843696E+03,2.441745E+03,1.932641E-01,2.068637E-01
09:00:00,6.641011E+03,2.463030E+03,2.229609E-01,2.055543E-01
09:15:00,5.365557E+03,3.549376E+03,1.813939E-01,3.089566E-01
09:30:00,5.535009E+03,4.241610E+03,1.847778E-01,3.854613E-01
09:45:00,4.748857E+03,4.822334E+03,1.560363E-01,4.520762E-01
10:00:00,4.293316E+03,5.340871E+03,1.384444E-01,5.133995E-01
10:15:00,4.389446E+03,4.183842E+03,1.411703E-01,4.031926E-01
10:30:00,4.212662E+03,3.494177E+03,1.348674E-01,3.256996E-01
10:45:00,4.191218E+03,3.032540E+03,1.336234E-01,2.673493E-01
11:00:00,4.146770E+03,2.640912E+03,1.316126E-01,2.147939E-01
11:15:00,4.678461E+03,2.714527E+03,1.490075E-01,2.178070E-01
11:30:00,4.753935E+03,2.767450E+03,1.525891E-01,2.178171E-01
11:45:00,5.106922E+03,2.711535E+03,1.651536E-01,2.085173E-01
12:00:00,5.350336E+03,2.646071E+03,1.741800E-01,1.981101E-01
12:15:00,4.452546E+03,2.482418E+03,1.445137E-01,1.835824E-01
12:30:00,4.305809E+03,2.274134E+03,1.377564E-01,1.648414E-01
12:45:00,3.762362E+03,2.146754E+03,1.184210E-01,1.510921E-01
13:00:00,3.342903E+03,2.026586E+03,1.030276E-01,1.374587E-01
13:15:00,5.171166E+03,4.147441E+03,1.639308E-01,3.091197E-01
13:30:00,5.365573E+03,5.503021E+03,1.745072E-01,4.421242E-01
13:45:00,6.536767E+03,6.794640E+03,2.180295E-01,5.730371E-01
14:00:00,7.340897E+03,7.768434E+03,2.490963E-01,6.765465E-01
14:15:00,6.351203E+03,7.141790E+03,2.187752E-01,6.474758E-01
14:30:00,6.646119E+03,6.993816E+03,2.280066E-01,6.380886E-01
14:45:00,6.048467E+03,6.764610E+03,2.065006E-01,6.222247E-01
15:00:00,5.770702E+03,6.769480E+03,1.960369E-01,6.275944E-01
15:15:00,4.377732E+03,5.370988E+03,1.483001E-01,4.936910E-01
15:30:00,3.117601E+03,4.339330E+03,1.044827E-01,3.855428E-01
15:45:00,2.158239E+03,3.596213E+03,7.011994E-02,2.972054E-01
16:00:00,1.340675E+03,2.956115E+03,3.990431E-02,2.167239E-01
16:15:00,3.752111E+03,5.164004E+03,1.162763E-01,4.108859E-01
16:30:00,4.442197E+03,6.678516E+03,1.409720E-01,5.682783E-01
16:45:00,5.919282E+03,7.678356E+03,1.932998E-01,6.837280E-01
17:00:00,6.899074E+03,8.517511E+03,2.293483E-01,7.856896E-01
17:15:00,4.755730E+03,5.961713E+03,1.612493E-01,5.655212E-01
17:30:00,4.303005E+03,4.077289E+03,1.441946E-01,3.790849E-01
17:45:00,3.026779E+03,2.798352E+03,9.847544E-02,2.386788E-01
18:00:00,2.185598E+03,1.681828E+03,6.729049E-02,1.111742E-01
18:15:00,3.244232E+03,2.910379E+03,1.009254E-01,1.964302E-01
18:30:00,3.618948E+03,3.806562E+03,1.137437E-01,2.616937E-01
18:45:00,4.202943E+03,4.240523E+03,1.336474E-01,2.959790E-01
19:00:00,4.587334E+03,4.535686E+03,1.472449E-01,3.209737E-01
19:15:00,4.378404E+03,5.047752E+03,1.415444E-01,3.712917E-01
19:30:00,4.600054E+03,5.338723E+03,1.487935E-01,4.072078E-01
19:45:00,4.476721E+03,5.534537E+03,1.448991E-01,4.346133E-01
20:00:00,4.448613E+03,5.692889E+03,1.440846E-01,4.583461E-01
20:15:00,3.537224E+03,3.924471E+03,1.140870E-01,3.209282E-01
20:30:00,2.918341E+03,2.626305E+03,9.288972E-02,2.123494E-01
20:45:00,2.381163E+03,1.666326E+03,7.412056E-02,1.286309E-01
21:00:00,1.870654E+03,8.326337E+02,5.617926E-02,5.464660E-02
21:15:00,2.399296E+03,2.732585E+03,7.213867E-02,1.950602E-01
21:30:00,2.610243E+03,3.870250E+03,7.869565E-02,2.973599E-01
21:45:00,2.834573E+03,4.807019E+03,8.569483E-02,3.853972E-01
22:00:00,3.039741E+03,5.496972E+03,9.211721E-02,4.527207E-01
22:15:00,3.245260E+03,3.562103E+03,9.851444E-02,3.100074E-01
22:30:00,3.411341E+03,2.364237E+03,1.037840E-01,2.041193E-01
22:45:00,3.541970E+03,1.260548E+03,1.080106E-01,1.058756E-01
23:00:00,3.668059E+03,4.675237E+02,1.120979E-01,3.299989E-02
23:15:00,4.022468E+03,5.090358E+02,1.238407E-01,3.584865E-02
23:30:00,4.185778E+03,5.928228E+02,1.298305E-01,4.123221E-02
23:45:00,4.474544E+03,5.790811E+02,1.398276E-01,3.977451E-02
24:00:00,4.704332E+03,4.596578E+02,1.479517E-01,3.099786E-02
Peak,7.600713E+03,8.517511E+03,2.586773E-01,7.856896E-01

Peak Vol Flow (m3/s),,,2.202999E-01,6.691247E-01
