,LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),Previous Temperature,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),LIVING_UNIT1:Zone People Occupant Count [](TimeStep)
0,25.0,23.0,25.325,1.125,0.0,3.0
1,25.0,22.83065311867775,25.25,1.05,0.0,3.0
2,24.0,22.75936556842813,25.175000000000008,0.975,0.0,3.0
3,22.0,23.790915533119488,25.1,0.9,0.0,3.0
4,25.0,22.070698238564418,25.050000000000008,0.8250000000000001,0.0,3.0
5,26.0,21.914495840864628,25.0,0.75,0.0,3.0
6,23.0,23.977229785601445,24.95,0.6749999999999999,0.0,3.0
7,24.0,23.20111027957925,24.9,0.6,0.0,3.0
8,23.0,23.421154236926434,24.825,0.5249999999999999,0.0,3.0
9,24.0,22.973169360279282,24.75,0.45,0.0,3.0
10,25.0,22.79083766673016,24.675000000000008,0.375,0.0,3.0
11,24.0,22.71437534716038,24.6,0.3,0.0,3.0
12,23.0,23.21198381685629,24.550000000000008,0.225,0.0,3.0
13,24.0,23.407760702900905,24.5,0.15,0.0,3.0
14,24.0,21.355733341220773,24.45,0.075,0.0,3.0
15,24.0,21.067296412479767,24.4,0.0,0.0,3.0
16,25.0,21.48169395729494,24.4,0.0,0.0,3.0
17,25.0,23.24247930768653,24.4,0.0,0.0,3.0
18,25.0,22.880437443889075,24.4,0.0,0.0,3.0
19,25.0,22.204275571763056,24.4,0.0,0.0,3.0
20,24.0,23.530445980175056,24.275,0.0,0.0,3.0
21,23.0,23.520747478792256,24.15,0.0,0.0,3.0
22,24.0,24.042430568421523,24.025,0.0,0.0,3.0
23,26.0,22.11648627877822,23.9,0.0,101.0,3.0
24,23.0,24.00201483926563,24.175,0.0,151.5,3.0
25,25.0,23.171735298319085,24.45,0.0,202.0,3.0
26,25.0,22.322897397939922,24.725,0.0,281.75,3.0
27,23.0,23.594180416563425,25.0,0.0,361.5,3.0
28,25.0,21.98722959042528,25.825,0.0,441.25,2.6493
29,26.0,20.856725513597304,26.65,0.0,521.0,2.6493
30,23.0,22.04361415341441,27.475,0.0,565.0,2.6493
31,25.0,22.558403531411827,28.3,0.0,609.0,2.6493
32,24.0,23.869103147426763,28.725,0.0,653.0,1.22583
33,24.0,22.817337279254332,29.15,0.0,697.0,1.22583
34,24.0,23.483466501008635,29.575,0.0,714.25,1.22583
35,24.0,23.77046102773241,30.0,0.0,731.5,1.22583
36,22.0,22.310723323202446,30.425,0.0,748.75,0.72567
37,22.0,23.878024104741073,30.85,0.0,766.0,0.72567
38,24.0,22.928520157316406,31.275,0.0,778.5,0.72567
39,25.0,21.50788640267928,31.7,0.0,791.0,0.72567
40,24.0,23.090771076897056,31.975,0.775,803.5,0.72567
41,24.0,21.608001229221045,32.25,1.55,816.0,0.72567
42,24.0,23.15852588490805,32.525,2.325,795.5,0.72567
43,23.0,23.79037665320217,32.8,3.1,775.0,0.72567
44,23.0,23.524233899594183,32.925,2.85,754.5,0.72567
45,24.0,22.892621236966818,33.05,2.6,734.0,0.72567
46,24.0,21.58348054127613,33.175,2.35,735.0,0.72567
47,25.0,21.068086583785888,33.3,2.1,736.0,0.72567
48,25.0,20.86902036342808,33.575,2.475,737.0,0.72567
49,23.0,23.463011934556306,33.85,2.85,738.0,0.72567
50,24.0,21.851314010266574,34.125,3.225,730.25,0.72567
51,25.0,21.754819970025725,34.4,3.6,722.5,0.72567
52,22.0,23.325930653280135,34.55,3.35,714.75,0.72567
53,22.0,24.4915336461705,34.7,3.1,707.0,0.72567
54,24.0,23.368014894642528,34.85,2.85,703.25,0.72567
55,23.0,22.927862087668956,35.0,2.6,699.5,0.72567
56,23.0,23.291926758545785,35.0,2.725,695.75,0.72567
57,22.0,23.437015548163274,35.0,2.85,692.0,0.72567
58,24.0,22.962957803594286,35.0,2.975,615.5,0.72567
59,24.0,22.774034049463854,35.0,3.1,539.0,0.72567
60,22.0,23.76250169607203,35.15,3.1,462.5,0.72567
61,22.0,23.632148563691285,35.3,3.1,386.0,0.72567
62,24.0,23.055917636490626,35.45,3.1,419.0,0.72567
63,23.0,23.89763102689248,35.6,3.1,452.0,0.72567
64,23.0,22.1131550244426,35.30000000000001,3.75,485.0,0.8849400000000001
65,22.0,23.51431952647149,35.0,4.4,518.0,0.8849400000000001
66,25.0,21.930006911379177,34.7,5.050000000000002,549.5,0.8849400000000001
67,24.0,21.283424596585157,34.4,5.7,581.0,0.8849400000000001
68,23.0,23.13806791999417,34.0,5.300000000000002,612.5,1.6593
69,24.0,22.261292238764938,33.6,4.9,644.0,1.6593
70,24.0,23.487253751424408,33.2,4.5,583.75,1.6593
71,24.0,23.423691237961066,32.8,4.1,523.5,1.6593
72,23.0,23.909979899665643,32.6,3.975,463.25,2.6907900000000002
73,23.0,24.62552753678169,32.4,3.85,403.0,2.6907900000000002
74,22.0,23.836802890880055,32.2,3.725,302.25,2.6907900000000002
75,22.0,22.9804676989919,32.0,3.6,201.5,2.6907900000000002
76,24.0,22.62906725097902,31.75,3.475,100.75,2.6907900000000002
77,24.0,23.540121833224447,31.5,3.35,0.0,2.6907900000000002
78,22.0,25.486175238632143,31.25,3.225,0.0,2.6907900000000002
79,24.0,23.589667543208783,31.0,3.1,0.0,2.6907900000000002
80,24.0,23.353079392157685,30.6,2.325,0.0,2.6907900000000002
81,25.0,21.642896166305515,30.2,1.55,0.0,2.6907900000000002
82,23.0,23.600482570505935,29.8,0.775,0.0,2.6907900000000002
83,23.0,22.232853035746025,29.4,0.0,0.0,2.6907900000000002
84,22.0,25.922593234980003,28.85,0.375,0.0,3.0
85,24.0,23.110155763627557,28.3,0.75,0.0,3.0
86,24.0,23.557110858223595,27.75,1.125,0.0,3.0
87,25.0,22.643618522822237,27.2,1.5,0.0,3.0
88,24.0,23.847350293006155,26.925,1.125,0.0,3.0
89,22.0,23.78125971507585,26.65,0.75,0.0,3.0
90,25.0,22.677234255321324,26.375000000000004,0.375,0.0,3.0
91,24.0,23.287082919344666,26.1,0.0,0.0,3.0
92,24.0,23.5161944337235,26.1,0.525,0.0,3.0
93,25.0,22.011863383831543,26.1,1.05,0.0,3.0
94,23.0,23.007987860263444,26.1,1.5750000000000002,0.0,3.0
95,23.0,25.53248502414221,26.1,2.1,0.0,3.0
